"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"D6";"LED_SMD_RGB_3W";1;"LED_RGB";;;
2;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"CRYSTAL";;;
3;"L3,L2,L1";"Choke_SMD_4.5x4x3.2";3;"68u";;;
4;"REF**,REF**";"MountingHole_3.2mm_M3_DIN965";2;"MountingHole_3.2mm_M3_DIN965";;;
5;"REF***";"OSHW-Logo2_7.3x6mm_Copper";1;"OSHW-Logo2_7.3x6mm_Copper";;;
6;"REF***";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
7;"REF**";"Symbol_KiCAD-Logo_CopperAndSilkScreenTop";1;"KiCAD Logo";;;
8;"G***";"Shimatta_SolderMask";1;"LOGO";;;
9;"C1,C2";"C_0603_HandSoldering";2;"22p";;;
10;"C3,C10";"C_0603_HandSoldering";2;"1u";;;
11;"C4,C5,C6,C9,C13";"C_0603_HandSoldering";5;"100n";;;
12;"C7";"C_0805_HandSoldering";1;"1u";;;
13;"C8,C11,C12,C14";"C_0805_HandSoldering";4;"100n";;;
14;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8-AI";;;
15;"P1";"USB_Mini-B";1;"USB_OTG";;;
16;"R1,R9,R11,R13,R4";"R_0603_HandSoldering";5;"10k";;;
17;"R2";"R_0603_HandSoldering";1;"2k2";;;
18;"R3,R7,R8,R15,R16";"R_0603_HandSoldering";5;"10";;;
19;"R5,R6";"R_0603_HandSoldering";2;"39";;;
20;"R10,R12,R14";"R_1206_HandSoldering";3;"0.33";;;
21;"U1";"TO-252-2Lead";1;"MC78M05CDT";;;
22;"JP1";"Socket_Strip_Straight_1x02";1;"Bootloader";;;
23;"P3,P4";"Socket_Strip_Straight_1x03";2;"CONN_01X03";;;
24;"P5";"Socket_Strip_Straight_1x04";1;"CONN_01X04";;;
25;"U2,U3,U5";"SOT89-5_Housing_Handsoldering";3;"PT4115";;;
26;"U4";"SO-8";1;"SN75176";;;
27;"SW1";"SW_DIP_x8_SMD_2.54";1;"SW_DIP_x08";;;
28;"D1,D2";"D_MiniMELF_Standard";2;"3V3";;;
29;"D3,D4,D5,D7,D8";"D_SMA_Standard";5;"SS310";;;
30;"CON101";"TC2050-IDC";1;"10PIN_ISP_AVR";;;
